species,image_slot,image_id,analysis_stage,source,observation_id,observation_url,license,photographer_or_observer,date_accessed,source_metadata_status,original_image_path,original_width,original_height,image_downloaded,usable,exclusion_reason,animal_clear,background_clear,segmentation_status,segmentation_qc,metrics_status,notes,source_photo_id
Phyllidiella pustulosa,8,Phyllidiella_pustulosa_img08,candidate,iNaturalist,356463696,https://www.inaturalist.org/observations/356463696,CC BY-NC,slbailly,2026/6/18,matched,raw_data/formal_images/Phyllidiella_pustulosa/Phyllidiella_pustulosa_img08.jpg,2048,1536,yes,yes,,yes,yes,not_started,not_reviewed,not_started,Research grade; species-level ID supported 2/2; animal clearly visible with dorsal tubercles and dark body pattern; background visible; image is slightly dark/blue-toned but suitable for pilot,650062060
Phyllidiella pustulosa,9,Phyllidiella_pustulosa_img09,candidate,iNaturalist,343994104,https://www.inaturalist.org/observations/343994104,CC BY-NC,Sylvain Le Bris,2026/6/18,matched,raw_data/formal_images/Phyllidiella_pustulosa/Phyllidiella_pustulosa_img09.jpg,2048,1539,yes,yes,,yes,yes,not_started,not_reviewed,not_started,Research grade; species-level ID supported; animal clearly visible with dorsal tubercles and dark body pattern; background visible; image is slightly blue-toned but suitable for pilot,626719435
Phyllidiella pustulosa,10,Phyllidiella_pustulosa_img10,candidate,iNaturalist,355163508,https://www.inaturalist.org/observations/355163508,CC BY-NC,Wayne and Pam Osborn,2026/6/18,matched,raw_data/formal_images/Phyllidiella_pustulosa/Phyllidiella_pustulosa_img10.jpg,2048,1211,yes,yes,,yes,yes,not_started,not_reviewed,not_started,"Research grade; species-level ID supported 2/2; animal large and clearly visible with dorsal tubercles and dark body pattern; background visible but relatively dark; side angle rather than full dorsal view, but suitable for pilot",647809020
Ardeadoris egretta,1,Ardeadoris_egretta_img01,candidate,iNaturalist,388381275,https://www.inaturalist.org/observations/388381275,CC BY-NC,Kun-hong Tsai (kun_hong),2026/8/11,,raw_data/formal_images/Ardeadoris_egretta/Ardeadoris_egretta_img01.jpg,2048,1536,yes,yes,,yes,yes,,,,Research grade; whole animal clear and fully visible; colour pattern visible; natural background clear,711309243
Ardeadoris egretta,2,Ardeadoris_egretta_img02,candidate,iNaturalist,383284157,https://www.inaturalist.org/observations/383284157,CC BY-NC,Ingmar Rondeel (ingmar51),2026/8/11,,raw_data/formal_images/Ardeadoris_egretta/Ardeadoris_egretta_img02.jpg,2048,1536,yes,yes,,yes,yes,,,,Research grade; whole animal clear and fully visible; colour pattern visible; natural background clear,701500729
Ardeadoris egretta,3,Ardeadoris_egretta_img03,candidate,iNaturalist,374831544,https://www.inaturalist.org/observations/374831544,CC BY-NC,thormainz,2026/8/11,,raw_data/formal_images/Ardeadoris_egretta/Ardeadoris_egretta_img03.jpg,1638,2048,yes,yes,,yes,yes,,,,Research grade; animal clear and mostly fully visible; colour pattern visible; natural background clear,685167022
Ardeadoris egretta,4,Ardeadoris_egretta_img04,candidate,iNaturalist,368273307,https://www.inaturalist.org/observations/368273307,CC BY-NC,Sue Churchill (sue_churchill),2026/8/11,,raw_data/formal_images/Ardeadoris_egretta/Ardeadoris_egretta_img04.jpg,1000,750,yes,yes,,yes,yes,,,,Research grade; whole animal clear and fully visible; colour pattern visible; natural background clear,672608760
Ardeadoris egretta,5,Ardeadoris_egretta_img05,candidate,iNaturalist,365348870,https://www.inaturalist.org/observations/365348870,CC BY-NC,Jules Cadiou (jules_cadiou),2026/8/11,,raw_data/formal_images/Ardeadoris_egretta/Ardeadoris_egretta_img05.jpg,2048,1366,yes,yes,,yes,yes,,,,Research grade; whole animal clear and fully visible; colour pattern visible; natural background clear; slightly bright underwater image,667036599
Ardeadoris egretta,6,Ardeadoris_egretta_img06,candidate,iNaturalist,362576455,https://www.inaturalist.org/observations/362576455,CC BY-NC,Sure Squintsalot (sure_squintsalot),2026/8/11,,raw_data/formal_images/Ardeadoris_egretta/Ardeadoris_egretta_img06.jpg,1876,1239,yes,yes,,yes,yes,,,,Research grade; whole animal visible; colour pattern visible; natural background clear; slightly soft underwater image,661773219
Ardeadoris egretta,7,Ardeadoris_egretta_img07,candidate,iNaturalist,357450494,https://www.inaturalist.org/observations/357450494,CC BY-NC,Ella Pennington (ellapennington),2026/8/11,,raw_data/formal_images/Ardeadoris_egretta/Ardeadoris_egretta_img07.jpg,2048,1535,yes,yes,,yes,yes,,,,Research grade; whole animal clear and fully visible; colour pattern visible; natural background visible; dark underwater background,651962281
