species,image_id,status,attempts,point1_x,point1_y,point2_x,point2_y,animal_perimeter_original_px,mask_path,qc_path
Mexichromis festiva,Mexichromis_festiva_img09,accepted,1,315.17076703135353,1590.6143370289221,1014.3756619499203,299.90198361289436,5285.363142609596,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Mexichromis_festiva/Mexichromis_festiva_img09_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Mexichromis_festiva/Mexichromis_festiva_img09_manual_rescue_qc.png
Notodoris (=Aegires) gardineri,Notodoris_Aegires_gardineri_img01,accepted,1,550.559793814433,888.0562223858615,1742.5621502209128,751.7239690721648,4170.710130810738,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Notodoris_Aegires_gardineri/Notodoris_Aegires_gardineri_img01_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Notodoris_Aegires_gardineri/Notodoris_Aegires_gardineri_img01_manual_rescue_qc.png
Notodoris (=Aegires) gardineri,Notodoris_Aegires_gardineri_img03,accepted,1,1474.723564064801,945.967268041237,475.75802650957286,1060.5828792341679,5743.841286063194,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Notodoris_Aegires_gardineri/Notodoris_Aegires_gardineri_img03_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Notodoris_Aegires_gardineri/Notodoris_Aegires_gardineri_img03_manual_rescue_qc.png
Notodoris (=Aegires) gardineri,Notodoris_Aegires_gardineri_img04,accepted,1,1101.4724594992633,857.9783350544227,1152.4503681885124,469.4133866008144,2861.8216207027435,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Notodoris_Aegires_gardineri/Notodoris_Aegires_gardineri_img04_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Notodoris_Aegires_gardineri/Notodoris_Aegires_gardineri_img04_manual_rescue_qc.png
Notodoris (=Aegires) gardineri,Notodoris_Aegires_gardineri_img05,accepted,1,534.8755522827687,777.0600515463916,1875.2749631811485,634.6953976435934,3867.8115161657333,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Notodoris_Aegires_gardineri/Notodoris_Aegires_gardineri_img05_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Notodoris_Aegires_gardineri/Notodoris_Aegires_gardineri_img05_manual_rescue_qc.png
Notodoris (=Aegires) gardineri,Notodoris_Aegires_gardineri_img07,accepted,1,1011.9018145392653,700.1832368040111,1029.299092730367,1106.1197279297194,1264.8986176252365,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Notodoris_Aegires_gardineri/Notodoris_Aegires_gardineri_img07_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Notodoris_Aegires_gardineri/Notodoris_Aegires_gardineri_img07_manual_rescue_qc.png
Notodoris (=Aegires) gardineri,Notodoris_Aegires_gardineri_img09,accepted,1,715.4417229389444,717.1443998151685,1530.462046502052,794.765383011655,2280.2022235393524,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Notodoris_Aegires_gardineri/Notodoris_Aegires_gardineri_img09_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Notodoris_Aegires_gardineri/Notodoris_Aegires_gardineri_img09_manual_rescue_qc.png
Phyllidia coelestis,Phyllidia_coelestis_img10,accepted,1,105.38930812905886,917.2609971186101,1792.4328647901937,846.9169810967943,4814.692890405655,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Phyllidia_coelestis/Phyllidia_coelestis_img10_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Phyllidia_coelestis/Phyllidia_coelestis_img10_manual_rescue_qc.png
Phyllidia elegans,Phyllidia_elegans_img01,accepted,1,752.6852200270187,931.0892149948963,1212.0579542802534,833.6465137896647,1383.626539349556,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Phyllidia_elegans/Phyllidia_elegans_img01_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Phyllidia_elegans/Phyllidia_elegans_img01_manual_rescue_qc.png
Phyllidia elegans,Phyllidia_elegans_img07,accepted,1,300.4679519345525,321.3309501030087,674.0189335676434,421.995662685952,973.8376553058624,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Phyllidia_elegans/Phyllidia_elegans_img07_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Phyllidia_elegans/Phyllidia_elegans_img07_manual_rescue_qc.png
